code,name,lat,long,tambon,amphoe,province,basin,sub_basin
FOP034,ฝายคลองเปิก,8.1939125,99.73485,ถ้ำใหญ่,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง
FOP035,สะพานข้ามคลองวังเคียน,7.9545927,99.8964,วังอ่าง,ชะอวด,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 4
FOP036,สะพานห้วยน้ำใส,7.8895726,99.87424,เกาะขันธ์,ชะอวด,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 4
FOP037,สะพานข้ามคลองห้วยกรวด,7.8768225,99.93328,เกาะขันธ์,ชะอวด,นครศรีธรรมราช,ทะเลสาบสงขลา,ทะเลน้อย
FOP038,สะพานบ้านแหลมโตนด,7.8175993,100.04755,แหลมโตนด,ควนขนุน,พัทลุง,ทะเลสาบสงขลา,ทะเลน้อย
FOP039,สะพานท่าสำเภา,7.7296143,100.10796,ชัยบุรี,เมืองพัทลุง,พัทลุง,ทะเลสาบสงขลา,ทะเลหลวง
FOP040,คลองกาแลกูโบ หมู่ที่ 1,6.738517,101.25218,คลองใหม่,ยะรัง,ปัตตานี,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP041,คลองสุหงาบารู หมู่ที่ 4,6.7370944,101.27309,คลองใหม่,ยะรัง,ปัตตานี,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP042,อบต. ตาชี,6.55514,101.1063,ตาชี,ยะหา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP043,คลองปะแต,6.4125834,101.13891,ปะแต,ยะหา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP044,ทต. ปะแต,6.413974,101.13616,ปะแต,ยะหา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP046,ศูนย์เรียนรู้ชุมชนบ้านนาซัว หมู่ที่ 2,6.2720094,101.15673,ถ้ำทะลุ,บันนังสตา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP047,โรงเรียนนิคมสร้างตนเองพัฒนาภาคใต้ 1,6.3125324,101.361046,ตลิ่งชัน,บันนังสตา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง
FOP048,ทะเลหมอก อัยเยอร์เวง,5.998542,101.17656,อัยเยอร์เวง,เบตง,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนบน
FOP049,หมู่บ้านปิยะมิตร 3,5.9342256,101.10874,อัยเยอร์เวง,เบตง,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนบน
FOP050,รร.กองม่องทะ สาขาไล่โว่,15.30931,98.50981,ไล่โว่,สังขละบุรี,กาญจนบุรี,แม่กลอง,แม่น้ำแควน้อยตอนบนส่วนที่ 1
FOP052,ห้วยแม่แจ่ม,19.073105,98.30672,แจ่มหลวง,กัลยาณิวัฒนา,เชียงใหม่,ปิง,น้ำแม่แจ่มตอนบน
FOP053,ชุมชนแม่แดด,18.962727,98.41244,แม่แดด,กัลยาณิวัฒนา,เชียงใหม่,ปิง,น้ำแม่แจ่มตอนบน
FOP054,สะพานแม่น้ำลาว,19.108192,99.45523,แม่เจดีย์ใหม่,เวียงป่าเป้า,เชียงราย,โขงเหนือ,น้ำแม่ลาวส่วนที่ 1
FOP055,คลองกั้ง,17.716375,100.12409,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/1
FOP056,คลองจอมแจ้ง,17.702343,100.02168,แม่พูล,ลับแล,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/2
FOP057,บ้านประดู่,8.212015,99.703285,นาหลวงเสน,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง
FOP058,บ้านใต้,8.17833,99.70355,นาหลวงเสน,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง
FOP059,ชุมชนตำบลคลองสระ (น้ำตกภูริน),8.993955,99.65859,คลองสระ,กาญจนดิษฐ์,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 3
FOP060,ชุมชนตำบลเกาะขันธ์ (บ้านน้ำตก),7.963781,99.77759,เกาะขันธ์,ชะอวด,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 4
